Ref,Val,Package,PosX,PosY,Rot,Side
"C2","100nF","C_0603_1608Metric",7.000000,-5.400000,-90.000000,top
"C3","1uF","C_0603_1608Metric",-9.000000,0.000000,180.000000,top
"C4","1uF
16V","C_0603_1608Metric",-9.000000,-5.600000,180.000000,top
"D1","BAS40-04","SOT-23_L2.9-W1.3-P1.90-LS2.4-BR",4.600000,6.000000,180.000000,top
"D2","RCLAMP0521P-N","X1-DFN1006-2_L1.0-W0.6-P0.65-BI",2.200000,-6.000000,90.000000,top
"D3","RCLAMP0521P-N","X1-DFN1006-2_L1.0-W0.6-P0.65-BI",-2.200000,-6.000000,90.000000,top
"D4","RCLAMP0521P-N","X1-DFN1006-2_L1.0-W0.6-P0.65-BI",-2.200000,6.000000,-90.000000,top
"D5","RCLAMP0521P-N","X1-DFN1006-2_L1.0-W0.6-P0.65-BI",2.200000,6.000000,-90.000000,top
"D6","SZYY0603O","LED0603-R-RD_ORANGE",0.000000,-5.900000,180.000000,top
"D7","SZYY0603O","LED0603-R-RD_ORANGE",0.000000,5.900000,180.000000,top
"D8","NH-B2020RGBA-GF","LED-ARRAY-SMD_4P-L2.1-W2.1-TL_NH-B2020RGBA",0.000000,0.000000,90.000000,top
"D9","1N4148WS","D_SOD-323",-2.750000,0.000000,90.000000,top
"EC1","Conn_Jacdac_CardEdge","JD-PEC-02_Prerouted_recessed",0.000000,-10.000000,180.000000,top
"EC2","Conn_Jacdac_CardEdge","JD-PEC-02_Prerouted_recessed",0.000000,10.000000,0.000000,top
"FB1","~","L0603",-4.800000,6.000000,180.000000,top
"MH1","jacdac_hole_DATA_MH1","jacdac_hole_DATA_MH1",-10.000000,-10.000000,90.000000,top
"R1","220R","R_0603_1608Metric",-4.800000,2.400000,0.000000,top
"R2","150R","R_0603_1608Metric",3.800000,-5.400000,-90.000000,top
"R3","150R","R_0603_1608Metric",5.400000,-5.400000,-90.000000,top
"R4","30R","R_0603_1608Metric",9.600000,-5.200000,0.000000,top
"R5","30R","R_0603_1608Metric",9.600000,5.200000,180.000000,top
"R6","30R","R_0603_1608Metric",7.200000,5.400000,-90.000000,top
"SW1","TS-1088-AR02016","SW-SMD_L3.9-W3.0-P4.45",-5.600000,-1.400000,90.000000,top
"U1","STM32G030F6P6","TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL",7.600000,0.000000,0.000000,top
"U2","NCP114ASN330T1G","TSOP-5_L3.0-W1.5-P0.95-BL",-9.000000,-2.800000,180.000000,top
