"Value","Reference","Package","LCSC Part"
"100nF","C2","0603"," C14663"
"1uF","C3","0603","C15849"
"1uF16V","C4","0603","C15849"
"BAS40-04","D1","","C7502688"
"RCLAMP0521P-N","D2,D3,D4,D5","","C316043"
"SZYY0603O","D6,D7","0603","C965800"
"NH-B2020RGBA-GF","D8","SMD-4P,2.1x2.1mm","C52212030"
"1N4148WS","D9","","C2128"
"~","FB1","","C1002"
"220R","R1","0603","C22962"
"150R","R2,R3","0603","C22808"
"30R","R4,R5,R6","0603","C128060"
"TS-1088-AR02016","SW1","SMD","C720477"
"STM32G030F6P6","U1","TSSOP-20","C724040"
"NCP114ASN330T1G","U2","TSOP-5-1.5mm","C457666"
